industry_skill,job_count,demand_percentage,gap_status,matched_curriculum_skill,colleges,courses
SOP,12,0.0498,unmatched,,,
Commercial Projects,12,0.0498,unmatched,,,
RTR,12,0.0498,unmatched,,,
Energy,12,0.0498,unmatched,,,
Linux System Administration,12,0.0498,unmatched,,,
Creative,12,0.0498,unmatched,,,
ABAP,12,0.0498,unmatched,,,
Machine Maintenance,12,0.0498,unmatched,,,
Capital market,12,0.0498,unmatched,,,
JEE,12,0.0498,unmatched,,,
Security operations,12,0.0498,unmatched,,,
Security Engineering,12,0.0498,unmatched,,,
Speciality Chemicals,12,0.0498,unmatched,,,
IT support,12,0.0498,unmatched,,,
Tomcat,12,0.0498,unmatched,,,
Redhat Openshift,12,0.0498,unmatched,,,
Recruitment Operations,12,0.0498,unmatched,,,
New product development,12,0.0498,unmatched,,,
Abap On Hana,12,0.0498,unmatched,,,
Ectd,12,0.0498,unmatched,,,
Job Portals,12,0.0498,unmatched,,,
Control Plan,12,0.0498,unmatched,,,
Ad Sales,12,0.0498,unmatched,,,
Exercise,12,0.0498,unmatched,,,
CSM,12,0.0498,unmatched,,,
Hr Operations,12,0.0498,unmatched,,,
PCI DSS,12,0.0498,unmatched,,,
JBoss,12,0.0498,unmatched,,,
Dispatch Planning,12,0.0498,unmatched,,,
Resourcing,12,0.0498,unmatched,,,
Data mining,12,0.0498,unmatched,,,
Data warehousing,12,0.0498,unmatched,,,
AS400,12,0.0498,unmatched,,,
MVVM,12,0.0498,unmatched,,,
Business continuity,12,0.0498,unmatched,,,
Assembly Line,12,0.0498,unmatched,,,
Photography,12,0.0498,unmatched,,,
Php Development,12,0.0498,unmatched,,,
Credit Management,12,0.0498,unmatched,,,
Workforce planning,12,0.0498,unmatched,,,
Eks,12,0.0498,unmatched,,,
Clinical Programming,12,0.0498,unmatched,,,
Clinical research,12,0.0498,unmatched,,,
ITI Electrical,12,0.0498,unmatched,,,
Cloud Storage,12,0.0498,unmatched,,,
Remote Support,12,0.0498,unmatched,,,
Selection process,12,0.0498,unmatched,,,
Front desk,12,0.0498,unmatched,,,
Interior Architecture,12,0.0498,unmatched,,,
Utility,12,0.0498,unmatched,,,
Nexus,12,0.0498,unmatched,,,
Electronics Engineering,12,0.0498,unmatched,,,
Sales Growth,12,0.0498,unmatched,,,
Sales Entry,12,0.0498,unmatched,,,
Calibration,12,0.0498,unmatched,,,
Release management,12,0.0498,unmatched,,,
Reliability,12,0.0498,unmatched,,,
Audit Management,12,0.0498,unmatched,,,
Art,12,0.0498,unmatched,,,
Agile methodology,12,0.0498,unmatched,,,
Opd,12,0.0498,unmatched,,,
3D modeling,12,0.0498,unmatched,,,
7Qc,12,0.0498,unmatched,,,
Financial Products,12,0.0498,unmatched,,,
Software Asset Management,11,0.0456,unmatched,,,
ICWA,11,0.0456,unmatched,,,
Business Advisory,11,0.0456,unmatched,,,
Purchase Requisition,11,0.0456,unmatched,,,
MS Office tools,11,0.0456,unmatched,,,
It Security,11,0.0456,unmatched,,,
It Sales,11,0.0456,unmatched,,,
Building Materials,11,0.0456,unmatched,,,
Social Work,11,0.0456,unmatched,,,
Calendaring,11,0.0456,unmatched,,,
Blogs,11,0.0456,unmatched,,,
Web services,11,0.0456,unmatched,,,
Manager,11,0.0456,unmatched,,,
Asana,11,0.0456,unmatched,,,
Installation And Commissioning,11,0.0456,unmatched,,,
Leadership development,11,0.0456,unmatched,,,
Routing And Switching,11,0.0456,unmatched,,,
Conveyors,11,0.0456,unmatched,,,
Copa,11,0.0456,unmatched,,,
Call Audit,11,0.0456,unmatched,,,
Selenium Webdriver,11,0.0456,unmatched,,,
Tally Software,11,0.0456,unmatched,,,
Corporate Communication,11,0.0456,unmatched,,,
Article Writing,11,0.0456,unmatched,,,
Bmc Remedy,11,0.0456,unmatched,,,
Blue Prism,11,0.0456,unmatched,,,
Flooring,11,0.0456,unmatched,,,
Web API,11,0.0456,unmatched,,,
Calls Handling,11,0.0456,unmatched,,,
Calls,11,0.0456,unmatched,,,
Driving,11,0.0456,unmatched,,,
Drilling,11,0.0456,unmatched,,,
Ruby,11,0.0456,unmatched,,,
PMO,11,0.0456,unmatched,,,
OTC,11,0.0456,unmatched,,,
Data Manipulation,11,0.0456,unmatched,,,
Data Lake,11,0.0456,unmatched,,,
Api Automation,11,0.0456,unmatched,,,
Event management,11,0.0456,unmatched,,,
GenAI,11,0.0456,unmatched,,,
Gen AI,11,0.0456,unmatched,,,
Release Management,11,0.0456,unmatched,,,
Fixed assets,11,0.0456,unmatched,,,
External audit,11,0.0456,unmatched,,,
PCB Designing,11,0.0456,unmatched,,,
PCB,11,0.0456,unmatched,,,
Sea Freight,11,0.0456,unmatched,,,
Excel Powerpoint,11,0.0456,unmatched,,,
Mortgage Underwriting,11,0.0456,unmatched,,,
Meeting Planning,11,0.0456,unmatched,,,
Warehouse management,11,0.0456,unmatched,,,
Packaging Design,11,0.0456,unmatched,,,
Ev,11,0.0456,unmatched,,,
Process Documentation,11,0.0456,unmatched,,,
Trade finance,11,0.0456,unmatched,,,
Gold loan,11,0.0456,unmatched,,,
Data entry,11,0.0456,unmatched,,,
Mortgage Sales,11,0.0456,unmatched,,,
Auditor,11,0.0456,unmatched,,,
Product Engineering,11,0.0456,unmatched,,,
OO ABAP,11,0.0456,unmatched,,,
Palo Alto Firewall,11,0.0456,unmatched,,,
Dice,11,0.0456,unmatched,,,
Digital Advertising,11,0.0456,unmatched,,,
Bi Publisher,11,0.0456,unmatched,,,
Juniper,11,0.0456,unmatched,,,
Primavera,11,0.0456,unmatched,,,
UNIT,11,0.0456,unmatched,,,
Manufacturing Process,11,0.0456,unmatched,,,
Cash management,11,0.0456,unmatched,,,
Overseas Education,11,0.0456,unmatched,,,
Outsourcing,11,0.0456,unmatched,,,
Risk analytics,11,0.0456,unmatched,,,
Corporate Finance,11,0.0456,unmatched,,,
Illustration,11,0.0456,unmatched,,,
Conflict management,11,0.0456,unmatched,,,
Visual Studio,11,0.0456,unmatched,,,
Visual Merchandising,11,0.0456,unmatched,,,
Cc,11,0.0456,unmatched,,,
Data Extraction,11,0.0456,unmatched,,,
SAP B1,11,0.0456,unmatched,,,
System Engineering,11,0.0456,unmatched,,,
EMI,11,0.0456,unmatched,,,
Industrial Product Sales,11,0.0456,unmatched,,,
Mobile applications,11,0.0456,unmatched,,,
Loan Recovery,11,0.0456,unmatched,,,
Consultancy,11,0.0456,unmatched,,,
HR operations,11,0.0456,unmatched,,,
NLP,11,0.0456,unmatched,,,
Solution Development,11,0.0456,unmatched,,,
Maintenance Operations,11,0.0456,unmatched,,,
Maintenance Activities,11,0.0456,unmatched,,,
Laptop Support,11,0.0456,unmatched,,,
Sap Security,11,0.0456,unmatched,,,
Sap Sales And Distribution,11,0.0456,unmatched,,,
Data Center,11,0.0456,unmatched,,,
GNM,11,0.0456,unmatched,,,
Equity Advisory,11,0.0456,unmatched,,,
Sso,11,0.0456,unmatched,,,
Ssl,11,0.0456,unmatched,,,
Accounts Executive,11,0.0456,unmatched,,,
HRSD,11,0.0456,unmatched,,,
Tekla,11,0.0456,unmatched,,,
Lap Loans,11,0.0456,unmatched,,,
Risk Advisory,11,0.0456,unmatched,,,
Metallurgy,11,0.0456,unmatched,,,
CMM,11,0.0456,unmatched,,,
Solution Architect,11,0.0456,unmatched,,,
CNC Machines,11,0.0456,unmatched,,,
Test management,11,0.0456,unmatched,,,
IT Project Management,11,0.0456,unmatched,,,
International Taxation,11,0.0456,unmatched,,,
International Non Voice,11,0.0456,unmatched,,,
Payment Processing,11,0.0456,unmatched,,,
Vessels,11,0.0456,unmatched,,,
Vertical Head,11,0.0456,unmatched,,,
Sap Module,11,0.0456,unmatched,,,
Visualiser,11,0.0456,unmatched,,,
Patient Counselling,11,0.0456,unmatched,,,
Threat Analysis,11,0.0456,unmatched,,,
Facebook Ads,11,0.0456,unmatched,,,
Risk Consulting,11,0.0456,unmatched,,,
Rendering,11,0.0456,unmatched,,,
Sap Mdg,11,0.0456,unmatched,,,
Market Expansion,11,0.0456,unmatched,,,
HRMS,11,0.0456,unmatched,,,
SAP MM Module,11,0.0456,unmatched,,,
O2C,11,0.0456,unmatched,,,
Data Analyst,11,0.0456,unmatched,,,
RPG,11,0.0456,unmatched,,,
Ayurveda,11,0.0456,unmatched,,,
Legal documentation,11,0.0456,unmatched,,,
Powershell Scripting,11,0.0456,unmatched,,,
Compliance management,11,0.0456,unmatched,,,
Kpi,11,0.0456,unmatched,,,
Document Management,11,0.0456,unmatched,,,
Office Assistance,11,0.0456,unmatched,,,
Branch management,11,0.0456,unmatched,,,
Investigation,11,0.0456,unmatched,,,
Identityiq,11,0.0456,unmatched,,,
Mechanical Electrical Plumbing,11,0.0456,unmatched,,,
Forging Parts,11,0.0456,unmatched,,,
Forge Shop,11,0.0456,unmatched,,,
Chinese,11,0.0456,unmatched,,,
Sap Integration,11,0.0456,unmatched,,,
Entity framework,11,0.0456,unmatched,,,
Pega,11,0.0456,unmatched,,,
Facilities,11,0.0456,unmatched,,,
Windows Server Administration,11,0.0456,unmatched,,,
Branch Manager,11,0.0456,unmatched,,,
Cost estimation,11,0.0456,unmatched,,,
Cost Optimization,11,0.0456,unmatched,,,
Revenue recognition,11,0.0456,unmatched,,,
Teaching Mathematics,11,0.0456,unmatched,,,
Cross Functional Coordination,11,0.0456,unmatched,,,
Technical Consulting,11,0.0456,unmatched,,,
As400,11,0.0456,unmatched,,,
Steel Industry,11,0.0456,unmatched,,,
Marketing Activities,11,0.0456,unmatched,,,
SAT,11,0.0456,unmatched,,,
Competitor Analysis,11,0.0456,unmatched,,,
Azure Functions,11,0.0456,unmatched,,,
Neural Networks,11,0.0456,unmatched,,,
Engineering Purchase,11,0.0456,unmatched,,,
Performance appraisal,11,0.0456,unmatched,,,
Internal audit,11,0.0456,unmatched,,,
Customer experience management,11,0.0456,unmatched,,,
Hyperion,11,0.0456,unmatched,,,
Single Line Diagram,11,0.0456,unmatched,,,
Buying,11,0.0456,unmatched,,,
Revenue Growth,11,0.0456,unmatched,,,
Dm,11,0.0456,unmatched,,,
Production management,11,0.0456,unmatched,,,
Claim Settlement,11,0.0456,unmatched,,,
Communication And Interpersonal Skills,11,0.0456,unmatched,,,
SQA,11,0.0456,unmatched,,,
Java Architecture,11,0.0456,unmatched,,,
Engine,11,0.0456,unmatched,,,
Refrigeration,11,0.0456,unmatched,,,
Guest service,11,0.0456,unmatched,,,
Oracle ERP,11,0.0456,unmatched,,,
Fire Alarm System,11,0.0456,unmatched,,,
Machine Operating,11,0.0456,unmatched,,,
Itam,11,0.0456,unmatched,,,
Credit Control,11,0.0456,unmatched,,,
Background Verification,11,0.0456,unmatched,,,
End To End Sales,11,0.0456,unmatched,,,
Back Office Operation,11,0.0456,unmatched,,,
RTOS,11,0.0456,unmatched,,,
Public relations,11,0.0456,unmatched,,,
Aluminium,11,0.0456,unmatched,,,
SIP,11,0.0456,unmatched,,,
Marketing strategy,11,0.0456,unmatched,,,
Client Relation,11,0.0456,unmatched,,,
Policies,11,0.0456,unmatched,,,
Client Account Management,11,0.0456,unmatched,,,
Application Deployment,11,0.0456,unmatched,,,
DCS,11,0.0456,unmatched,,,
Linkedin Marketing,11,0.0456,unmatched,,,
Store Supervision,11,0.0456,unmatched,,,
Fraud,11,0.0456,unmatched,,,
Pharmaceutical Sales,11,0.0456,unmatched,,,
Transport Management,11,0.0456,unmatched,,,
Team Motivation,11,0.0456,unmatched,,,
Asp,11,0.0456,unmatched,,,
Credit risk,11,0.0456,unmatched,,,
Sales Service,11,0.0456,unmatched,,,
Pytest,11,0.0456,unmatched,,,
Dentistry,11,0.0456,unmatched,,,
Denials,11,0.0456,unmatched,,,
Application security,11,0.0456,unmatched,,,
Fund Accounting,11,0.0456,unmatched,,,
Database Administration,11,0.0456,unmatched,,,
R2R,11,0.0456,unmatched,,,
Sitel,11,0.0456,unmatched,,,
Working Capital,11,0.0456,unmatched,,,
Optimization,11,0.0456,unmatched,,,
Large Language Model,11,0.0456,unmatched,,,
Gd T,11,0.0456,unmatched,,,
Gl,11,0.0456,unmatched,,,
Emerging Technologies,11,0.0456,unmatched,,,
Physiology,11,0.0456,unmatched,,,
Strategic Marketing Planning,11,0.0456,unmatched,,,
Clinical Data,11,0.0456,unmatched,,,
Electrical Works,11,0.0456,unmatched,,,
Strategy Consulting,11,0.0456,unmatched,,,
Clothing,11,0.0456,unmatched,,,
Embedded systems,11,0.0456,unmatched,,,
Emergency Response,11,0.0456,unmatched,,,
Salary Negotiation,11,0.0456,unmatched,,,
PySpark,11,0.0456,unmatched,,,
Material management,11,0.0456,unmatched,,,
BBA,11,0.0456,unmatched,,,
Application Engineering,11,0.0456,unmatched,,,
Mining,11,0.0456,unmatched,,,
Financial accounting,11,0.0456,unmatched,,,
Business Partnering,11,0.0456,unmatched,,,
Field Job,11,0.0456,unmatched,,,
Operating Systems,11,0.0456,partial/semantic_match,Operating System,"Nashik University, University of Mumbai, Savitribai Phule Pune University","Unknown, MDL401 Multidisciplinary minor -- 2 -- -- -- 1 1, MDC401 Multidisciplinary minor 3 -- -- 3 -- -- 3, MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100"
Online Marketing,11,0.0456,unmatched,,,
Iso Standards,11,0.0456,unmatched,,,
Product Demonstration,10,0.0415,unmatched,,,
Building Services,10,0.0415,unmatched,,,
Selenium Automation,10,0.0415,unmatched,,,
Logo Design,10,0.0415,unmatched,,,
Core Banking,10,0.0415,unmatched,,,
Import Export,10,0.0415,unmatched,,,
Variance analysis,10,0.0415,unmatched,,,
Nursery,10,0.0415,unmatched,,,
Engineering Management,10,0.0415,unmatched,,,
Spanish,10,0.0415,unmatched,,,
Control Testing,10,0.0415,unmatched,,,
Control-M,10,0.0415,unmatched,,,
Dms,10,0.0415,unmatched,,,
Profit And Loss,10,0.0415,unmatched,,,
IIS,10,0.0415,unmatched,,,
Adaptability,10,0.0415,unmatched,,,
Copy Writing,10,0.0415,unmatched,,,
HR Executive,10,0.0415,unmatched,,,
Security Framework,10,0.0415,unmatched,,,
Biomedical Engineering,10,0.0415,unmatched,,,
Automation Engineering,10,0.0415,unmatched,,,
Adm,10,0.0415,unmatched,,,
Problem management,10,0.0415,unmatched,,,
Transaction services,10,0.0415,unmatched,,,
Agent Recruitment,10,0.0415,unmatched,,,
Sap Bw,10,0.0415,unmatched,,,
Cics,10,0.0415,unmatched,,,
Sap Trm,10,0.0415,unmatched,,,
Cds,10,0.0415,unmatched,,,
Statistical Modeling,10,0.0415,unmatched,,,
System testing,10,0.0415,unmatched,,,
English Literature,10,0.0415,unmatched,,,
Semiconductor,10,0.0415,unmatched,,,
Cafe,10,0.0415,unmatched,,,
Freight Management,10,0.0415,unmatched,,,
Corporate Business Development,10,0.0415,unmatched,,,
Corporate Relations,10,0.0415,unmatched,,,
Executive,10,0.0415,unmatched,,,
Sap Cloud Platform,10,0.0415,unmatched,,,
Business Excellence,10,0.0415,unmatched,,,
Snow,10,0.0415,unmatched,,,
Diploma,10,0.0415,unmatched,,,
Aftersales,10,0.0415,unmatched,,,
Keyword Research,10,0.0415,unmatched,,,
Roadmap,10,0.0415,unmatched,,,
HANA,10,0.0415,unmatched,,,
Tax Planning,10,0.0415,unmatched,,,
VRAY,10,0.0415,unmatched,,,
Automation Tools,10,0.0415,unmatched,,,
Medical devices,10,0.0415,unmatched,,,
HR Policies,10,0.0415,unmatched,,,
HR Policy Formulation,10,0.0415,unmatched,,,
Consumer,10,0.0415,unmatched,,,
Performance Monitoring,10,0.0415,unmatched,,,
Performance Improvement,10,0.0415,unmatched,,,
HR Strategy,10,0.0415,unmatched,,,
Training Analysis,10,0.0415,unmatched,,,
E/M,10,0.0415,unmatched,,,
Project coordination,10,0.0415,unmatched,,,
Project documentation,10,0.0415,unmatched,,,
Internet banking,10,0.0415,unmatched,,,
Internship,10,0.0415,unmatched,,,
Banking operations,10,0.0415,unmatched,,,
Loss prevention,10,0.0415,unmatched,,,
Employee Central,10,0.0415,unmatched,,,
Office Operations,10,0.0415,unmatched,,,
Medical Services,10,0.0415,unmatched,,,
Containerization,10,0.0415,unmatched,,,
Automobile Sales,10,0.0415,unmatched,,,
Avp,10,0.0415,unmatched,,,
Manager Program Management,10,0.0415,unmatched,,,
Construction Engineering,10,0.0415,unmatched,,,
US IT recruitment,10,0.0415,unmatched,,,
Prince2,10,0.0415,unmatched,,,
Operational Risk,10,0.0415,unmatched,,,
Operating systems,10,0.0415,partial/semantic_match,Operating System,"Nashik University, University of Mumbai, Savitribai Phule Pune University","Unknown, MDL401 Multidisciplinary minor -- 2 -- -- -- 1 1, MDC401 Multidisciplinary minor 3 -- -- 3 -- -- 3, MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100"
Kpo,10,0.0415,unmatched,,,
Property Acquisition,10,0.0415,unmatched,,,
MS Office Word,10,0.0415,unmatched,,,
HRBP,10,0.0415,unmatched,,,
Performance Management System,10,0.0415,unmatched,,,
Itil Framework,10,0.0415,unmatched,,,
Facility management,10,0.0415,unmatched,,,
Fire Fighting System,10,0.0415,unmatched,,,
Layout,10,0.0415,unmatched,,,
Gtm,10,0.0415,unmatched,,,
Return Filing,10,0.0415,unmatched,,,
Oic,10,0.0415,unmatched,,,
Hris,10,0.0415,unmatched,,,
Proposal Management,10,0.0415,unmatched,,,
Genetics,10,0.0415,unmatched,,,
Trade Processing,10,0.0415,unmatched,,,
Salesforce Cpq,10,0.0415,unmatched,,,
Excel Reporting,10,0.0415,unmatched,,,
Excellent Communication,10,0.0415,unmatched,,,
Backend Development,10,0.0415,unmatched,,,
Salesforce Platform,10,0.0415,unmatched,,,
CSE,10,0.0415,unmatched,,,
Credit analysis,10,0.0415,unmatched,,,
Gst Reconciliation,10,0.0415,unmatched,,,
Emergency Medicine,10,0.0415,unmatched,,,
CRO,10,0.0415,unmatched,,,
Service desk,10,0.0415,unmatched,,,
Service engineering,10,0.0415,unmatched,,,
Growth Marketing,10,0.0415,unmatched,,,
Embedded C,10,0.0415,unmatched,,,
Piping,10,0.0415,unmatched,,,
Fixture Design,10,0.0415,unmatched,,,
Development management,10,0.0415,unmatched,,,
Device Management,10,0.0415,unmatched,,,
Business Transformation,10,0.0415,unmatched,,,
Mac,10,0.0415,unmatched,,,
Business Planning,10,0.0415,unmatched,,,
Net Mvc,10,0.0415,unmatched,,,
Design review,10,0.0415,unmatched,,,
Business Rules,10,0.0415,unmatched,,,
Bricks,10,0.0415,unmatched,,,
Ai Solutions,10,0.0415,unmatched,,,
Print Media,10,0.0415,unmatched,,,
Proposal Development,10,0.0415,unmatched,,,
Township,10,0.0415,unmatched,,,
Public Cloud,10,0.0415,unmatched,,,
Written communication,10,0.0415,unmatched,,,
Client engagement,10,0.0415,unmatched,,,
ORM,10,0.0415,unmatched,,,
OSCP,10,0.0415,unmatched,,,
Stock Market,10,0.0415,unmatched,,,
Exadata,10,0.0415,unmatched,,,
System Testing,10,0.0415,unmatched,,,
Aws Cloudformation,10,0.0415,unmatched,,,
Aws Devops,10,0.0415,unmatched,,,
Aws Glue,10,0.0415,unmatched,,,
Conflict Resolution,10,0.0415,unmatched,,,
Design Process,10,0.0415,unmatched,,,
Accounting Standards,10,0.0415,unmatched,,,
Tool Room,10,0.0415,unmatched,,,
Tourism,10,0.0415,unmatched,,,
Business banking,10,0.0415,unmatched,,,
Software engineering,10,0.0415,unmatched,,,
SAP Finance,10,0.0415,unmatched,,,
Bms,10,0.0415,unmatched,,,
SonarQube,10,0.0415,unmatched,,,
Grievance Management,10,0.0415,unmatched,,,
Technical Lead,10,0.0415,unmatched,,,
SAP PP,10,0.0415,unmatched,,,
SAP Security,10,0.0415,unmatched,,,
Media Relations,10,0.0415,unmatched,,,
Luxury,10,0.0415,unmatched,,,
Placement Coordination,10,0.0415,unmatched,,,
Curriculum Design,10,0.0415,unmatched,,,
Curriculum Designing,10,0.0415,unmatched,,,
Network Administration,10,0.0415,unmatched,,,
GI,10,0.0415,unmatched,,,
Togaf,10,0.0415,unmatched,,,
GIS,10,0.0415,unmatched,,,
Workday Integration,10,0.0415,unmatched,,,
Grc,10,0.0415,unmatched,,,
Customer,10,0.0415,unmatched,,,
Secondary,10,0.0415,unmatched,,,
HVAC Design,10,0.0415,unmatched,,,
Pediatrics,10,0.0415,unmatched,,,
Virtualization,10,0.0415,unmatched,,,
Maintenance Planning,10,0.0415,unmatched,,,
8D,10,0.0415,unmatched,,,
Plant Management,10,0.0415,unmatched,,,
Middle Office,10,0.0415,unmatched,,,
Customer Relationship Management,10,0.0415,unmatched,,,
Technology consulting,10,0.0415,unmatched,,,
MBBS,10,0.0415,unmatched,,,
Language Teaching,10,0.0415,unmatched,,,
Mould Design,10,0.0415,unmatched,,,
QMS Implementation,10,0.0415,unmatched,,,
Demand Forecasting,10,0.0415,unmatched,,,
Delivery Leadership,10,0.0415,unmatched,,,
Material Requirement Planning,10,0.0415,unmatched,,,
Heading,10,0.0415,unmatched,,,
Sales Force Development,10,0.0415,unmatched,,,
Sales Invoice,10,0.0415,unmatched,,,
Sales Manager,10,0.0415,unmatched,,,
Fmea,10,0.0415,unmatched,,,
WMS,10,0.0415,unmatched,,,
IVR,10,0.0415,unmatched,,,
FEA,10,0.0415,unmatched,,,
Site Engineer,10,0.0415,unmatched,,,
Brand Campaigns,10,0.0415,unmatched,,,
Analysis Tools,10,0.0415,unmatched,,,
QlikView,10,0.0415,unmatched,,,
Global Sales,10,0.0415,unmatched,,,
LDAP,10,0.0415,unmatched,,,
LAN Troubleshooting,10,0.0415,unmatched,,,
Pre,10,0.0415,unmatched,,,
Inward,10,0.0415,unmatched,,,
Customer retention,10,0.0415,unmatched,,,
Refinery,10,0.0415,unmatched,,,
Car Finance,10,0.0415,unmatched,,,
Handling Escalations,10,0.0415,unmatched,,,
Communicational Skills,10,0.0415,unmatched,,,
Ich,10,0.0415,unmatched,,,
Life Sciences,10,0.0415,unmatched,,,
MES,10,0.0415,unmatched,,,
MF,10,0.0415,unmatched,,,
Operations research,10,0.0415,unmatched,,,
Inventory Optimization,10,0.0415,unmatched,,,
B2B sales,10,0.0415,unmatched,,,
Panel Testing,10,0.0415,unmatched,,,
Vulnerability Assessment,10,0.0415,unmatched,,,
Hvac Design,10,0.0415,unmatched,,,
Feedback,10,0.0415,unmatched,,,
Government Sales,10,0.0415,unmatched,,,
Industrial Engineering,10,0.0415,unmatched,,,
Telephone Handling,10,0.0415,unmatched,,,
Grammar,10,0.0415,unmatched,,,
Jewelry,10,0.0415,unmatched,,,
Functional Consultancy,10,0.0415,unmatched,,,
Fasteners,10,0.0415,unmatched,,,
Safety Inspection,10,0.0415,unmatched,,,
Sales And Distribution,10,0.0415,unmatched,,,
Texturing,10,0.0415,unmatched,,,
Therapy,10,0.0415,unmatched,,,
IAM,10,0.0415,unmatched,,,
Tender Documentation,10,0.0415,unmatched,,,
Tender Estimation,10,0.0415,unmatched,,,
Commercial Vehicle,10,0.0415,unmatched,,,
SLA Management,10,0.0415,unmatched,,,
Hot Forging,10,0.0415,unmatched,,,
Screening Resumes,10,0.0415,unmatched,,,
RT,10,0.0415,unmatched,,,
Raw,10,0.0415,unmatched,,,
International Recruitment,10,0.0415,unmatched,,,
Biochemistry,10,0.0415,unmatched,,,
Equity Dealer,10,0.0415,unmatched,,,
Financial modelling,10,0.0415,unmatched,,,
Posters,10,0.0415,unmatched,,,
RAC,10,0.0415,unmatched,,,
Sabre,10,0.0415,unmatched,,,
Icd,10,0.0415,unmatched,,,
OJT,10,0.0415,unmatched,,,
Branch Banking Operations,10,0.0415,unmatched,,,
Test Case Execution,10,0.0415,unmatched,,,
REVIT MEP,10,0.0415,unmatched,,,
RFI,10,0.0415,unmatched,,,
Fund Management,10,0.0415,unmatched,,,
Oracle Cloud Infrastructure,10,0.0415,unmatched,,,
Test Scripts,10,0.0415,unmatched,,,
Data Privacy,10,0.0415,unmatched,,,
Positioning,10,0.0415,unmatched,,,
Ecommerce Marketing,10,0.0415,unmatched,,,
Test Execution,10,0.0415,unmatched,,,
SQL queries,10,0.0415,partial/semantic_match,Sql,University of Mumbai,MDC401 Multidisciplinary minor 20 20 40 60 2 -- -- 100
Subject,10,0.0415,unmatched,,,
Subject matter expertise,10,0.0415,unmatched,,,
Off-page Optimization,10,0.0415,unmatched,,,
B2B Corporate Sales,10,0.0415,unmatched,,,
Business Accounting,10,0.0415,unmatched,,,
Kanban,10,0.0415,unmatched,,,
Product Knowledge,10,0.0415,unmatched,,,
Process control,10,0.0415,unmatched,,,
Export Management,10,0.0415,unmatched,,,
Channel management,10,0.0415,unmatched,,,
Online Sales,10,0.0415,unmatched,,,
Finance Control,10,0.0415,unmatched,,,
Rostering,10,0.0415,unmatched,,,
Gateways,10,0.0415,unmatched,,,
Document Control,10,0.0415,unmatched,,,
Travel Process,10,0.0415,unmatched,,,
Sap Fico Implementation,10,0.0415,unmatched,,,
Export Import Documentation,10,0.0415,unmatched,,,
Stat Audit,10,0.0415,unmatched,,,
Chef,10,0.0415,unmatched,,,
2D Drafting,9,0.0373,unmatched,,,
Institutional,9,0.0373,unmatched,,,
Bar Bending Schedule,9,0.0373,unmatched,,,
Sap Isu,9,0.0373,unmatched,,,
Chemical Sales,9,0.0373,unmatched,,,
Banking Operation,9,0.0373,unmatched,,,
JEE preparation,9,0.0373,unmatched,,,
Chemistry faculty,9,0.0373,unmatched,,,
NEET preparation,9,0.0373,unmatched,,,
Professor Activities,9,0.0373,unmatched,,,
UI development,9,0.0373,unmatched,,,
Social media marketing,9,0.0373,unmatched,,,
Ad Space Selling,9,0.0373,unmatched,,,
Windows Xp,9,0.0373,unmatched,,,
Fabric,9,0.0373,unmatched,,,
Facility Administration,9,0.0373,unmatched,,,
Petty Cash Management,9,0.0373,unmatched,,,
Copy writing,9,0.0373,unmatched,,,
HIPAA,9,0.0373,unmatched,,,
Coordination Skills,9,0.0373,unmatched,,,
Rxjs,9,0.0373,unmatched,,,
Campaign management,9,0.0373,unmatched,,,
Contractors,9,0.0373,unmatched,,,
Continental,9,0.0373,unmatched,,,
RAG,9,0.0373,unmatched,,,
Portfolio Management Services,9,0.0373,unmatched,,,
Academic Counseling,9,0.0373,unmatched,,,
Accessories,9,0.0373,unmatched,,,
Casa Acquisition,9,0.0373,unmatched,,,
Student Mentoring,9,0.0373,unmatched,,,
Mathematics faculty,9,0.0373,unmatched,,,
Food Technology,9,0.0373,unmatched,,,
SQL Development,9,0.0373,unmatched,,,
Apparel,9,0.0373,unmatched,,,
Apex Programming,9,0.0373,unmatched,,,
RM,9,0.0373,unmatched,,,
Data Cleansing,9,0.0373,unmatched,,,
Feature Writing,9,0.0373,unmatched,,,
Workshop Management,9,0.0373,unmatched,,,
Answer Writing,9,0.0373,unmatched,,,
Sports Coaching,9,0.0373,unmatched,,,
SME Sales,9,0.0373,unmatched,,,
CEH,9,0.0373,unmatched,,,
Shop floor,9,0.0373,unmatched,,,
Dams,9,0.0373,unmatched,,,
Territory,9,0.0373,unmatched,,,
Visual Effects,9,0.0373,unmatched,,,
JUnit,9,0.0373,unmatched,,,
Equipment Maintenance,9,0.0373,unmatched,,,
Big Data Technologies,9,0.0373,unmatched,,,
Bim Modeler,9,0.0373,unmatched,,,
SMS,9,0.0373,unmatched,,,
Equity Advisor,9,0.0373,unmatched,,,
Commercial Buildings,9,0.0373,unmatched,,,
Patching,9,0.0373,unmatched,,,
Siem Tools,9,0.0373,unmatched,,,
Simulink,9,0.0373,unmatched,,,
Tgt,9,0.0373,unmatched,,,
Mongodb Database,9,0.0373,unmatched,,,
Go-to-market Strategy,9,0.0373,unmatched,,,
Neurology,9,0.0373,unmatched,,,
Unix Scripting,9,0.0373,unmatched,,,
Database Maintenance,9,0.0373,unmatched,,,
