skill,skill_normalized,job_count,demand_percentage,total_jobs,data_version,calculated_at
nbfc,Nbfc,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Molecular Biology,Molecular Biology,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Flutter,Flutter,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
instrumentation engineering,Instrumentation Engineering,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Instructional Design,Instructional Design,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Flow,Flow,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Capa,Capa,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Control system,Control system,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Administration Management,Administration Management,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Navisworks,Navisworks,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
test planning,Test Planning,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Business management,Business management,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
pmp,Pmp,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Fica,Fica,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Quantity Estimation,Quantity Estimation,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Gold,Gold,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Branch Sales,Branch Sales,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
IATA,IATA,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Agreements,Agreements,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Gdc,Gdc,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Direct Channel,Direct Channel,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
5S System,5S System,15,0.0622,24113,1.0,2026-09-18T12:34:10.283307
Digital media,Digital media,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Quantity Surveying,Quantity Surveying,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
database management system,Database Management System,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
android studio,Android Studio,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
MRM,MRM,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
MIS reporting,MIS reporting,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Training and Development,Training and Development,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
conditional formatting,Conditional Formatting,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Aviation,Aviation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Intune,Intune,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Web analytics,Web analytics,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
project management tools,Project Management Tools,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Debt Recovery,Debt Recovery,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Quality Documentation,Quality Documentation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Informatica Mdm,Informatica Mdm,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Labour,Labour,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
REST,REST,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
REST API,REST API,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
selenium testing,Selenium Testing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Calculation,Calculation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Cloud Sales,Cloud Sales,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
profitability,Profitability,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Aks,Aks,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
ms access,Ms Access,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
ms office suite,Ms Office Suite,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Material Handling,Material Handling,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Strong Interpersonal Skills,Strong Interpersonal Skills,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Salary Processing,Salary Processing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Corporate HR,Corporate HR,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Wireless,Wireless,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Trend analysis,Trend analysis,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Legal Drafting,Legal Drafting,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
GL,GL,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
deep learning frameworks,Deep Learning Frameworks,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
LIFO,LIFO,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
LINQ,LINQ,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
scientific writing,Scientific Writing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
IT Audit,IT Audit,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Home Loan Sales,Home Loan Sales,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
VRM,VRM,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Electrical Installation,Electrical Installation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Clinical,Clinical,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Industrial Relations,Industrial Relations,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
news writing,News Writing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Demand Generation,Demand Generation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
QSR,QSR,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Db2,Db2,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Shaping,Shaping,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
CMA,CMA,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
method validation,Method Validation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
customer segmentation,Customer Segmentation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Preventive,Preventive,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Corporate finance,Corporate finance,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Technical Helpdesk,Technical Helpdesk,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Quick Books,Quick Books,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Brand Strategy,Brand Strategy,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Pharmaceutics,Pharmaceutics,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Pharma Marketing,Pharma Marketing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
fi,Fi,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
R And D,R And D,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
SSRS,SSRS,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
correspondence,Correspondence,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Cost Reduction,Cost Reduction,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
videography,Videography,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Presentable,Presentable,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Quality systems,Quality systems,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
ERP Sales,ERP Sales,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Banners,Banners,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Station,Station,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Banking Sector,Banking Sector,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
ASP.Net MVC,ASP.Net MVC,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Succession Planning,Succession Planning,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Relationship Manager,Relationship Manager,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
adams,Adams,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Call Center Operations,Call Center Operations,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Web Content Writing,Web Content Writing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Components,Components,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
risk compliance,Risk Compliance,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
process compliance,Process Compliance,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
SAN,SAN,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Techno-commercial,Techno-commercial,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Mumbai,Mumbai,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
security assessment,Security Assessment,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Canvas,Canvas,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
S/4 HANA,S/4 HANA,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Rubber,Rubber,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
OPD,OPD,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Draft,Draft,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
project development,Project Development,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Component Development,Component Development,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
amadeus,Amadeus,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
application development lifecycle,Application Development Lifecycle,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
revit,Revit,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Order Fulfillment,Order Fulfillment,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Market Research And Analysis,Market Research And Analysis,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
forex operations,Forex Operations,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
People Management Skills,People Management Skills,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Siemens PLC,Siemens PLC,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
product life cycle management,Product Life Cycle Management,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Deal Closure,Deal Closure,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
good communication,Good Communication,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Sap Basis Hana,Sap Basis Hana,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Hana Implementation,Hana Implementation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Azure Synapse,Azure Synapse,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Personal,Personal,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Google Sheets,Google Sheets,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Export Sales,Export Sales,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Fixed income,Fixed income,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Service Engineering,Service Engineering,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Managed services,Managed services,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
general medicine,General Medicine,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
International Marketing,International Marketing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
IT Service Desk,IT Service Desk,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Training Needs,Training Needs,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Travel Booking,Travel Booking,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Travel Desk,Travel Desk,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Document Verification,Document Verification,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Power BI,Power BI,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Communication Skills Written,Communication Skills Written,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
advisory services,Advisory Services,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Customer service orientation,Customer service orientation,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
eclipse,Eclipse,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Functional testing,Functional testing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Developer,Developer,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Balance,Balance,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Forgings,Forgings,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Engineering services,Engineering services,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
TCP,TCP,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Dynamics,Dynamics,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
GTAW,GTAW,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
medidata rave,Medidata Rave,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Financial Advisory,Financial Advisory,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Field Sales Management,Field Sales Management,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Business Research,Business Research,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
microsoft dynamics crm technical,Microsoft Dynamics Crm Technical,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Line Balancing,Line Balancing,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
it service desk,It Service Desk,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Transition,Transition,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Telecommunication,Telecommunication,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Pipeline,Pipeline,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Physiotherapy,Physiotherapy,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
project management process,Project Management Process,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
PFMEA,PFMEA,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Call Monitoring,Call Monitoring,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Social Media Strategies,Social Media Strategies,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Financial Instruments,Financial Instruments,14,0.0581,24113,1.0,2026-09-18T12:34:10.283307
Zoho,Zoho,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Final Inspection,Final Inspection,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Online Branding,Online Branding,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Technical analysis,Technical analysis,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
pi,Pi,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Safety Training,Safety Training,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Plant Quality,Plant Quality,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Design Calculations,Design Calculations,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Business Generation,Business Generation,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Business Expansion,Business Expansion,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
lightning,Lightning,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
BCOM,BCOM,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
record keeping,Record Keeping,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
oracle apps technical,Oracle Apps Technical,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Skin Care,Skin Care,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
business requirements,Business Requirements,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Financial Products Sales,Financial Products Sales,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
google adwords,Google Adwords,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
data mining,Data Mining,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
s3,S3,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
TDD,TDD,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
W2,W2,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Vulnerability Management,Vulnerability Management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Civil 3D,Civil 3D,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
mulesoft anypoint,Mulesoft Anypoint,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Fanuc,Fanuc,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Oracle Fusion Financials,Oracle Fusion Financials,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
oil,Oil,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
wiring,Wiring,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
production scheduling,Production Scheduling,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Technology management,Technology management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Backend Process,Backend Process,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Claims Management,Claims Management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
san,San,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
IT Support,IT Support,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Excel Sheet,Excel Sheet,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Site Planning,Site Planning,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
mysql,Mysql,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Power Automate,Power Automate,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Power Point Presentation,Power Point Presentation,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Accountant,Accountant,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
steel,Steel,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Banking And Finance,Banking And Finance,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Verbal communication,Verbal communication,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Sap Configuration,Sap Configuration,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
SOX,SOX,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
SOA,SOA,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Car Loan,Car Loan,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Manpower Management,Manpower Management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
websphere,Websphere,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
PEB,PEB,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
DST,DST,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Evaluation,Evaluation,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Automation Anywhere,Automation Anywhere,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Contract Drafting,Contract Drafting,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Indirect,Indirect,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Mern Stack,Mern Stack,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Product Launch,Product Launch,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Bpo Operations,Bpo Operations,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
regulatory submissions,Regulatory Submissions,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Video editing,Video editing,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Preschool,Preschool,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
uipath,Uipath,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Technical Recruitment,Technical Recruitment,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Microcontroller,Microcontroller,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Bpt,Bpt,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Dealer Sales,Dealer Sales,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
WFM,WFM,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Manhattan WMS,Manhattan WMS,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Floor Management,Floor Management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Hotel Booking,Hotel Booking,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Hotel,Hotel,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Data Pipeline,Data Pipeline,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
OS Installation,OS Installation,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Search Engine Optimization,Search Engine Optimization,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Production planning,Production planning,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Distribution Management,Distribution Management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Inprocess Quality,Inprocess Quality,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Sales planning,Sales planning,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Veeva,Veeva,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Paint Shop Production,Paint Shop Production,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Project development,Project development,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Ariba,Ariba,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
E-tendering,E-tendering,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
EBS,EBS,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
remediation,Remediation,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Renewable energy,Renewable energy,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
QC Inspection,QC Inspection,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Motors,Motors,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Stamping Parts,Stamping Parts,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
PO,PO,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Biw,Biw,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
bitbucket,Bitbucket,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
dreamweaver,Dreamweaver,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Marketing operations,Marketing operations,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
us gaap,Us Gaap,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Telugu,Telugu,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Cyber,Cyber,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Amazon Ec2,Amazon Ec2,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
ITR,ITR,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
checkpoint,Checkpoint,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
market development,Market Development,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
HTML5,HTML5,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Standard operating procedures,Standard operating procedures,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Visual Basic,Visual Basic,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Quality engineering,Quality engineering,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Organization Skills,Organization Skills,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Mba Marketing,Mba Marketing,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
ITOM,ITOM,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
stored procedures,Stored Procedures,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Assistant Vice President,Assistant Vice President,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
fea,Fea,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Asp.Net,Asp.Net,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Agentic Ai,Agentic Ai,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Service Delivery Management,Service Delivery Management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Corporate governance,Corporate governance,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
advanced analytics,Advanced Analytics,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Basis Administration,Basis Administration,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Conceptualization,Conceptualization,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
relational databases,Relational Databases,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
share market,Share Market,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Global Sourcing,Global Sourcing,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Design Analysis,Design Analysis,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Tool Room Operations,Tool Room Operations,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Application Integration,Application Integration,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Freelancing,Freelancing,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
After Sales Service,After Sales Service,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
clinical sas programming,Clinical Sas Programming,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Client relationship,Client relationship,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Physical Education,Physical Education,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Tool Engineering,Tool Engineering,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Regression testing,Regression testing,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Industrial Marketing,Industrial Marketing,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
catia,Catia,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Cash Applications,Cash Applications,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Quality System Management,Quality System Management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
CSAT,CSAT,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
CPT,CPT,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Center Management,Center Management,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Estimation Engineering,Estimation Engineering,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
pathology,Pathology,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
mobx,Mobx,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
EMS,EMS,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
EDI,EDI,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
SAP GRC,SAP GRC,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
equity research,Equity Research,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Patient care,Patient care,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
ROC,ROC,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
SAP Basis Administration,SAP Basis Administration,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
construction safety,Construction Safety,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Service quality,Service quality,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
wireframing,Wireframing,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Tanks,Tanks,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Corporate Training,Corporate Training,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
uv,Uv,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Safety Compliance,Safety Compliance,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
plm,Plm,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Graphql,Graphql,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Telephone Operating,Telephone Operating,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
Resource Allocation,Resource Allocation,13,0.0539,24113,1.0,2026-09-18T12:34:10.283307
